code #,part #,model id,release,model #,cpu,gpu,emc,size,color
A1466,661-02397,MacBookAir7.2,Early 2015,MMGF2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,MMGG2LL/A,1.6 GHz Core i5-5250U,HD Graphics 6000,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Early 2015,BTO,2.2 GHz Core i7-5650U,HD Graphics 6000,2925,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,MQD32LL/A,1.8 GHz Core i5-5350U,HD Graphics 6000,3178,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,MQD42LL/A,1.8 GHz Core i5-5350U,HD Graphics 6000,3178,13,Silver
A1466,661-02397,MacBookAir7.2,Mid 2017,Z0UU1LL/A,2.2 GHz Core i7-5650U,HD Graphics 6000,3178,13,Silver
! A1502
A1502,661-8153,MacBookPro11.1,Late 2013,ME864LL/A,2.4 GHz Core i5-4258U,Iris 5100,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME865LL/A,2.4 GHz Core i5-4258U,Iris 5100,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME866LL/A,2.6 GHz Core i5-4288U,Iris 5100,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Late 2013,ME867LL/A,2.8 GHz Core i7-4558U,Iris 5100,2678,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX72LL/A,2.6 GHz Core i5-4278U,Iris 5100,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX82LL/A,2.6 GHz Core i5-4278U,Iris 5100,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGX92LL/A,2.8 GHz Core i5-4308U,Iris 5100,2875,13,Silver
A1502,661-8153,MacBookPro11.1,Mid 2014,MGXD2LL/A,3.0 GHz Core i7-4578U,Iris 5100,2875,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF839LL/A,2.7 GHz Core i5-5257U,Iris Graphics 6100,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF840LL/A,2.7 GHz Core i5-5257U,Iris Graphics 6100,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF841LL/A,2.9 GHz Core i5-5287U,Iris Graphics 6100,2835,13,Silver
A1502,661-02360,MacBookPro12.1,Early 2015,MF843LL/A,3.1 GHz Core i7-5557U,Iris Graphics 6100,2835,13,Silver
! A1534
A1534,661-02241,MacBook8.1,Early 2015,MF855LL/A,1.1 GHz Core M-5Y31,HD Graphics 5300,2746,12,Silver
A1534,661-02241,MacBook8.1,Early 2015,MF865LL/A,1.2 GHz Core M-5Y51,HD Graphics 5300,2746,12,Silver
A1534,661-02241,MacBook8.1,Early 2015,BTO,1.3 GHz Core M-5Y71,HD Graphics 5300,2746,12,Silver
A1534,661-02248,MacBook8.1,Early 2015,MK4M2LL/A,1.1 GHz Core M-5Y31,HD Graphics 5300,2746,12,Gold
A1534,661-02248,MacBook8.1,Early 2015,MK4N2LL/A,1.2 GHz Core M-5Y51,HD Graphics 5300,2746,12,Gold
A1534,661-02248,MacBook8.1,Early 2015,BTO,1.3 GHz Core M-5Y71,HD Graphics 5300,2746,12,Gold
A1534,661-02266,MacBook8.1,Early 2015,MJY32LL/A,1.1 GHz Core M-5Y31,HD Graphics 5300,2746,12,SG
A1534,661-02266,MacBook8.1,Early 2015,MJY42LL/A,1.2 GHz Core M-5Y51,HD Graphics 5300,2746,12,SG
A1534,661-02266,MacBook8.1,Early 2015,BTO,1.3 GHz Core M-5Y71,HD Graphics 5300,2746,12,SG
A1534,661-04744,MacBook9.1,Early 2016,MLHA2LL/A,1.1 GHz Core M3-6Y30,HD Graphics 515,2991,12,Silver
A1534,661-04744,MacBook9.1,Early 2016,MLHC2LL/A,1.2 GHz Core M5-6Y54,HD Graphics 515,2991,12,Silver
A1534,661-04744,MacBook9.1,Early 2016,BTO,1.3 GHz Core M7-6Y75,HD Graphics 515,2991,12,Silver
A1534,661-04745,MacBook9.1,Early 2016,MLHE2LL/A,1.1 GHz Core M3-6Y30,HD Graphics 515,2991,12,Gold
A1534,661-04745,MacBook9.1,Early 2016,MLHF2LL/A,1.2 GHz Core M5-6Y54,HD Graphics 515,2991,12,Gold
A1534,661-04745,MacBook9.1,Early 2016,BTO,1.3 GHz Core M7-6Y75,HD Graphics 515,2991,12,Gold
A1534,661-04746,MacBook9.1,Early 2016,MLH72LL/A,1.1 GHz Core M3-6Y30,HD Graphics 515,2991,12,SG
