model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
A1708,661-05095,MacBookPro14.1,Mid 2017,MPXT2LL/A,2.3 GHz Core i5-7360U,3164,13,Space Gray
A1708,661-05095,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,3164,13,Space Gray
A1708,661-05096,MacBookPro13.1,Late 2016,MLUQ2LL/A,2.0 GHz Core i5-6360U,2978,13,Silver
A1708,661-05096,MacBookPro13.1,Late 2016,BTO,2.4 GHz Core i7-6660U,2978,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXR2LL/A,2.3 GHz Core i5-7360U,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,MPXU2LL/A,2.3 GHz Core i5-7360U,3164,13,Silver
A1708,661-05096,MacBookPro14.1,Mid 2017,BTO,2.5 GHz Core i7-7660U,3164,13,Silver
# A1932
A1932,661-09733,MacBookAir8.1,Late 2018,MRE82LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-09733,MacBookAir8.1,Late 2018,MRE92LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-09734,MacBookAir8.1,Late 2018,MREA2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-09734,MacBookAir8.1,Late 2018,MREC2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-09735,MacBookAir8.1,Late 2018,MREE2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-09735,MacBookAir8.1,Late 2018,MREF2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFH2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-12586,MacBookAir8.2,Mid 2019,MVFJ2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Space Gray
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFK2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-12587,MacBookAir8.2,Mid 2019,MVFL2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Silver
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFM2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
A1932,661-12588,MacBookAir8.2,Mid 2019,MVFN2LL/A,1.6 GHz Intel Core i5-8210Y,3184,13,Gold
# A1989/A2159
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9Q2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Space Gray
A1989,661-10037,MacBookPro15.2,Mid 2018,MR9R2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Space Gray
A1989,661-10037,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Intel Core i7-8559U,3214,13,Space Gray
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9U2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9V2LL/A,2.3 GHz Intel Core i5-8259U,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Intel Core i7-8559U,3214,13,Silver
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Space Gray
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Space Gray
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Intel Core i5-8279U,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Intel Core i7-8569U,3358,13,Silver
# A1990
A1990,661-10355,MacBookPro15.1,Mid 2018,MR932LL/A,2.2 GHz Intel Core i7-8750H,3215,15,Space Gray
A1990,661-10355,MacBookPro15.1,Mid 2018,MR942LL/A,2.6 GHz Intel Core i7-8850H,3215,15,Space Gray
A1990,661-10355,MacBookPro15.3,Mid 2018,BTO,2.6 GHz Intel Core i7-8850H,3215,15,Space Gray
A1990,661-10355,MacBookPro15.1,Mid 2018,BTO,2.9 GHz Intel Core i9-8950H,3215,15,Space Gray
A1990,661-10355,MacBookPro15.3,Mid 2018,BTO,2.9 GHz Intel Core i9-8950H,3215,15,Space Gray
A1990,661-10355,MacBookPro15.1,Mid 2019,MV912LL/A,2.3 GHz Intel Core i9-9880H,3359,15,Space Gray
A1990,661-10355,MacBookPro15.3,Mid 2019,BTO,2.3 GHz Intel Core i9-9880H,3359,15,Space Gray
A1990,661-10355,MacBookPro15.1,Mid 2019,BTO,2.4 GHz Intel Core i9-9980H,3359,15,Space Gray
A1990,661-10355,MacBookPro15.3,Mid 2019,BTO,2.4 GHz Intel Core i9-9980H,3359,15,Space Gray
A1990,661-10355,MacBookPro15.1,Mid 2019,MV902LL/A,2.6 GHz Intel Core i7-9750H,3359,15,Space Gray
